Nr. ;Name;Address;Postal code;City;Lat;Long
0;EMTE HEADQUARTERS VEGHEL;CORRIDOR 11;5466RB;VEGHEL;51,607;5,52805
1;EMTE ARKEL;DR H DE VRIESPLN 14;4241BW;ARKEL;51,864;4,99304
2;EMTE ARNEMUIDEN FR;CLASINASTR 5;4341ER;ARNEMUIDEN;51,50001;3,67728
3;EMTE BATHMEN FR;LARENSEWG 18;7437BM;BATHMEN;52,24906;6,28999
4;EMTE BEEK EN DONK;HEUVELPLN 73;5741JJ;BEEK EN DONK;51,5293;5,6323
5;EMTE BERLICUM;MERCURIUSPLN 30;5258AX;BERLICUM NB;51,67952;5,39886
6;EMTE BEUSICHEM FR;MARKT 20;4112JS;BEUSICHEM;51,94899;5,29276
7;EMTE BORCULO;LICHTENHORST 7;7271AE;BORCULO;52,11763;6,52536
8;EMTE BOXMEER;BURG VERKUYLSTR 11;5831EH;BOXMEER;51,64601;5,94985
9;EMTE BRAKEL FR;MOLENKAMPSWG 3;5306VN;BRAKEL;51,81023;5,10761
10;EMTE BREDA MOERWIJK;MOERWYK 23;4826HN;BREDA;51,60853;4,79059
11;EMTE BREDA HEKSENWAAG;HEKSENWAAG 37;4823JT;BREDA;51,6229;4,74434
12;EMTE CROMVOIRT;ST LAMBERTUSSTR 55;5266AD;CROMVOIRT;51,66052;5,23157
13;EMTE CULEMBORG;VIANENSESTR 3;4101XA;CULEMBORG;51,95283;5,22259
14;EMTE CUIJK;MAASBURG 24;5431BR;CUYK;51,72951;5,88003
15;EMTE DENEKAMP;L VOOR 10;7591GE;DENEKAMP;52,37429;7,00273
16;EMTE DIEREN;DIDERNA 44;6951CW;DIEREN;52,05133;6,10018
17;EMTE DIESSEN FR;JULIANASTR 42;5087BB;DIESSEN;51,47868;5,17801
18;EMTE Dongen;Looiersplein 25;5104GN;DONGEN;51,625651;4,942291
19;EMTE DORDRECHT KRISPIJNSEWEG;KRISPYNSEWG 68;3314KL;DORDRECHT;51,80111;4,66547
20;EMTE DRUNEN;AALBERSESTR 5;5151EE;DRUNEN;51,68525;5,13236
21;EMTE ECHT;ZUIDERPOORT 31;6101KA;ECHT;51,10457;5,86231
22;EMTE EDE GLD DE SPINDOP;HG MAANEN 45;6717HZ;EDE GLD;52,02817;5,66609
23;EMTE EDE STADSPOORT;STADSPOORT 45;6716RH;EDE GLD;52,01707;5,64883
24;EMTE EDERVEEN FR;SCHRAS 9;6744WT;EDERVEEN;52,06017;5,57481
25;EMTE EINDHOVEN ARDECHELAAN;ARDECHELN 5;5627EM;EINDHOVEN;51,48852;5,44129
26;EMTE Eindhoven victoriapark;Victoriapark 90;5611BM;EINDHOVEN;51,440386;5,472727
27;EMTE EMMEN FR;MIDDENHAAG 7;7815LB;EMMEN;52,79828;6,89505
28;EMTE AKKERSTRAAT ENSCHEDE;AKKERSTR 1;7545GW;ENSCHEDE;52,21129;6,86449
29;EMTE ENSCHEDE BOTHOFSTR;LG BOTHOFSTR 161;7533AS;ENSCHEDE;52,22422;6,91576
30;EMTE ENSCHEDE DOTTERBLOEMSTR;DOTTERBLOEMSTR 10;7531TC;ENSCHEDE;52,2283;6,9155
31;EMTE ENSCHEDE KUIPERSDIJK;KUIPERSDK 118;7512CL;ENSCHEDE;52,2102;6,89479
32;EMTE ENSCHEDE OOSTERVELD;HET OOSTERVELD 10;7544EL;ENSCHEDE;52,18964;6,87084
33;EMTE ENSCHEDE WIJNOLTSSTRAAT;J WYNOLTSSTR 125;7521SR;ENSCHEDE;52,2254;6,86296
34;EMTE ENTER FR;DORPSSTR 51;7468CD;ENTER;52,29791;6,57785
35;EMTE GILZE;RAADHUISSTR 26 28;5126CJ;GILZE;51,54178;4,94274
36;EMTE GOIRLE;DE HOVEL 16;5051NP;GOIRLE;51,52099;5,06853
37;EMTE GOOR;DA COSTASTR 15;7471ZM;GOOR;52,24059;6,56955
38;EMTE GROENLO;DEN KOEM 2;7141VW;GROENLO;52,04356;6,60732
39;EMTE GROOT AMMERS;MARGRIETSTR 1;2964CE;GROOT AMMERS;51,92401;4,82106
40;EMTE HAAKSBERGEN JHR V HEIJDEN;JHR V HEYDENSTR 21;7481EC;HAAKSBERGEN;52,15412;6,74439
41;EMTE HAAKSBERGEN F BOLSTRAAT;F BOLSTR 11;7482EB;HAAKSBERGEN;52,16017;6,72957
42;EMTE HAAREN;DRIEHOEVEN 56;5076BJ;HAAREN;51,59999;5,22667
